std_competency,domain,unit,baseline_raw_name,midline_raw_name,baseline_value_in_series,midline_value_in_series,baseline_mean,midline_mean,mean_change,midline_pct_zero_band,comparison_status,note
number_comparison,numeracy,pct,Number Comparison,Number comparison,67.45,58.0,67.45,75.0,7.549999999999997,4.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
number_pattern,numeracy,pct,Number Pattern,Number Pattern,28.2,10.0,28.2,30.0,1.8000000000000007,30.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
addition_2digit,numeracy,pct,Addition Level 2,Addition 2,60.150000000000006,31.0,60.150000000000006,53.0,-7.150000000000006,11.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
subtraction_2digit,numeracy,pct,Subtraction Level 2,Subtraction 2,50.5,25.0,50.5,46.0,-4.5,19.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
shape_pattern,numeracy,pct,Shape Pattern,,36.849999999999994,,36.849999999999994,,,,baseline_only,
word_problem_addition,numeracy,pct,Word Problem - Addition,Word Problems,62.5,33.0,62.5,61.0,-1.5,12.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_problem_subtraction,numeracy,pct,Word Problem - Subtraction,Word Problems - Subtraction,33.849999999999994,23.0,33.849999999999994,,,20.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
multiplication,numeracy,pct,Multiplication,Multiplication,80.15,39.0,80.15,,,11.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
data_handling,numeracy,pct,Data Handling,Data Handling,65.15,30.0,65.15,,,1.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
shapes_1,numeracy,pct,Shapes 1,,85.5,,85.5,,,,baseline_only,
shapes_2,numeracy,pct,Shapes 2,,8.1,,8.1,,,,baseline_only,
money,numeracy,pct,Money,,64.4,,64.4,,,,baseline_only,
number_writing,numeracy,pct,Number Writing,Number Writing,66.5,48.0,66.5,,,13.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
sentence_writing,literacy,pct,,Sentence Writing,,39.0,,49.0,,42.0,midline_only,
independent_writing,literacy,pct,,Independent Writing,,28.0,,34.0,,60.0,midline_only,
shapes_midline_unspecified,numeracy,pct,,Shapes,,4.0,,16.0,,63.0,midline_only,
_domain_matched_set_literacy,literacy,pct,,,,61.5,58.0,71.0,13.0,,summary,Means over competencies with a stated mean in both rounds: letter_writing|word_writing
_domain_matched_set_numeracy,numeracy,pct,,,,40.142857142857146,60.34999999999999,61.57142857142857,1.2214285714285822,,summary,Means over competencies with a stated mean in both rounds: measurement|number_recognition|number_comparison|number_pattern|addition_2digit|subtraction_2digit|word_problem_addition
